address,city,hotel_facilities,point_of_interest,property_name,property_type,room_type,hotel_rating
Ootacamund. The Nilgiris. 643001,Ooty,Doctor on Call|Lobby|Front Desk|Parking Facility|Room Service,,XPLORE DORMITORY,Lodge,standard room,
"Vimoksha Valley I, Vill, Digoti, Majkhali, Ranikhet",Ranikhet,Doctor on Call|Parking Facilities Available|Front Desk|24 Hour Front Desk|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Room Service|Fire Safety|Recreation Zone|Anti-Slip Ramps|Fire Exit Signs|First-Aid Kit at Front Desk,Majkhali,Vimoksha Resorts Executive Cottage,Resort,Deluxe,
"Sunrise orchard,Mundagambadi village",Yercaud,"Airport Transfer Available / Surcharge|Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Power Backup|Gardens|Wake-up Call / Service|Separate Sitting Area|Smoking Rooms|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Nature Walk|Extra Person / Child - Share the same room|Express Laundry|Taxi Services|Food Facility|Newspapers In Lobby|Room Service (24 Hours)|Air / Rail Booking|RO Water Purification System|Outdoor Parking - Secured|Parking Facility",Killiyur falls|Anna park|Pagoda Point|Arthur Seat|Salem-Yercaud Main Road|Killiyur Falls,Vihal Estancia,Hotel,Valley View Room,3.9
"Villa no.3, Alliance Anmol Villas, celebration mall, udaipur(raj.), 313001",Udaipur,Business Center |Parking Facilities Available|Luggage Storage|Gardens|Suitable For Children|Kitchen available (home cook food on request)|Vegetarian Food / Jain Food Available|Outdoor Parking - Secured|Parking Facility|Room Service|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,Bhuwana|Udaipur University,VRINDAWAN VILLA,Homestay,Deluxe A/C Room,4
"Sinquerim, Candolim Bardez",Goa,"Restaurant bookings|Doctor-on-call|Jummaring|Shoe shine|Billiards/Snooker Table (At the Sports Complex)|Select sports facilities|Business Center|Tailor-made itineraries|Lounge|Gym|Ethernet RJ-45 Jack for Laptop|Handicapped Facilities|Village Gift Shop|Conference Room|Fitness Center|Fitness centre|Postal &amp; Parcel Services|Ballroom|Indoor games|Pool table (At the hotel complex)|Swimming Pool|Beauty Salon|Banquet Facility|2 Tennis Courts|Babysitting, with 24 hours prior notification|Internet Access|24-hour in room dining|Rock Climbing|Free Parking|Ice/Vending Machines|Wireless Data Connection (in Room)|Beach|Select Kid’s activities at Activity centre|Room Service|Wireless Data Connection|Complimentary airport transfers by coach|Rappelling|Bar|Tennis Courts|Astrologer|Restaurant|Table tennis (At the Sports complex)|Airport transfers|Front Desk|Volleyball|Tyrolean Traverse / Flying Fox|Car rentals|Restaurants – Latitude (Coffee shop), Il Camino (Italian specialty restaurant open for dinner only), Morisco (Sea Food specialty restaurant), SFX (Lounge bar) and Martini Bar|Outdoor swimming pool|Cricket (At the Sports complex)|Valet Parking|High Speed Internet Access|Steam Bath|Sauna|Whirlpool/Jacuzzi|No smoking rooms|Meeting Room|Coffee Shop|Golf|Game Room|restaurant|Wheelchair Accessible Elevators|Library|Squash Courts|Currency exchange|Travel &amp; Tours desk|Spa|Squash (At the Sports complex)|Health Club|Local errands - shopping/medicines/telecommunication etc.|Tanning Beds|City sightseeing tours",Dabolim Airport|Kesarval Springs|Mapusa Market|Marmagoa Harbour|River Cruise Area|Mandovi River|St. Jacinto Island|Panjim City|Souza Lobo Restaurant|Art Galleries|Bus Station|Club Cabana|16th Century Portugese Fortress|Baga Beach|Railway Station|Anjuna Flee Market|Calangute Beach|Sanctuaries|Bogmalo Beach|Tito's|Valsao Beach|North Goa|Sinquerim Beach|Fort Aguada|Candolim Area,Vivanta by Taj - Fort Aguada (A Taj Hotel),Resort,"Superior Charm Room/Garden View/King
Bed/29 SqMt/With Sit Out/Comp Basic Wifi",4.5
"8 Amalatas Marg, Near Qutab Plaza, Phase 1",Gurgaon,Currency Exchange|Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service,Alchemist Hospital|Guru Dronacharya Metro Station|Golf Course Road|Centrum Plaza|Fluid Gym,Willow Tree Premier,Guest House,Deluxe Room,4.4
"West Ladakh Camp, Uleytokpo",Leh,Airport Transfer Available / Surcharge|Babysitting/ Child Care (surcharge)|Bar / Lounge |Barbecue Area|Doctor on Call|Dry Cleaning|Laundry Service Available|Non Smoking Rooms|Parking Facilities Available|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Local Tour / Travel Desk,Uleytokpo,West Ladakh Camp Uleytokpo,Tent,Deluxe Tent,3.9
"Near Redemptor Chapel/Hotel Empier Beach Resort/ Resort Tera Paraisso Gaura Vaddo, Calangute Goa",Goa,Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Locker Facility| Bike on Rent|Car Rental|Taxi Services|Newspapers In Lobby|Parking Facility|Room Service,North Goa|Calangute Area,Vilo Villa Guest House,Guest House,Non AC Room,4.6
"Vista da Ilha, Navelkar Elite City, Kadamba Plateau, Bainguinim, Old Goa p.o box 403107",Goa,,Karmali Railway Station|Basilica of Bom Jesus|Others|Largo of St Francis Xavier|Goa Institute of Management|Se Cathedral Church,Vista da Ilha,Cottage,04 bedroom villa (10 paxs),
"House No.-08, Sec-71",Noida,Room Service,Sector 71|Metro Hospital And Heart Institute|Noida Cricket Stadium,Waris Hospitality,Guest House,Super Deluxe,
"12/7, MATHURA ROAD, NEAR TOLL PLAZA, FARIDABAD, DELHI NCR.",Faridabad,Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Business Center |Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Gardens|Room Service (24 Hours)|Courier Service|Internet / Fax (Reception area only)|Parking Facility|Porter Services Available|Public Restrooms,"Qutub Minar|Lotus Temple|Surajkund, Faridabad|Crown Interiorz Mall|Mathura Road",Vibe by The Lalit Traveller,Hotel,Executive Room,3.9
"Ec- 279, Nr City Centre and  Ec Park, Salt Lake, Kolkata - 700064",Kolkata,Doctor on Call|Front Desk|Parking Facility|Room Service|Public Restrooms,Bidhan Nagar Road Railway Station|Metro Belgachiya|Apollo Gleneagles Hospitals|All India Institute of Hygiene and Public Health|Salt Lake|Kolkata Railway Station|City Center Station,Vinayak Guest House,Guest House,Standard Single room,
Vatchala illam no 2/6b 2nd west cross street amravathy nagar Arumbakkam  chennai,Chennai,Doctor on Call|Parking Facilities Available|Front Desk|Medical Assistance Available|Public Restrooms,Thirumangalam Metro Station|Koyambedu Private Bus Terminus|Arumbakkam Metro Station|Others|Bus Stop - Koyambedu|Perambur Station|Spectrum The Grand Venus Mall,Vatchala Service Appartment anna nagar  Koyambeedu,Service Apartment,2 BHK,
"Wild desert resort c/o Mahadev resort near chokhi dhani, sam desert jaisalmer",Jaisalmer,Business Center |Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Power Backup|Transfers Available,Sam Sand Dunes,Wild Desert Resort a unit of Rao Bikaji Groups of hotels &amp; resorts,Resort,wild Desert resort ( Mahadev resort) camel safari MAPAI,4.4
"49-24-50/1, Sankaramatam Main Road, Main Road, opp ramlingeshwar swamy temple, Visakhapatnam",Visakhapatnam,Business Center |Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|24 Hour Front Desk|Air-Conditioning - Central|Vegetarian Food / Jain Food Available|Oxygen Cylinder (on request)|Food Facility|Internet Access Free|Room Service (24 Hours)|Parking Facility|Internet Access|Room Service,Dwaraka Nagar|Visakhapatnam Railway Station,Vistaram Near Railway Station,Hotel,Royal King A/c,3.9
"#45/A, MLA Colony, Road No.12, Banjara Hills, Hyderabad",Hyderabad,Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Power Backup|Express Check-In / Check-Out|Gardens|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Conference Facility |Kitchen available (home cook food on request)|Veranda|In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Food Facility|Newspapers In Lobby|Room Service (24 Hours)|RO Water Purification System|Parking Facility|Internet Access,Golconda Fort|Narshimha Jhira Water Cave Temple at|Consulate Genl Of Islamic Republic Of Iran|L V Prasad Eye Institute|Qutub Shahi Tombs|Banjara Hills Area,Vcare Service Apartments (Hill Ridge),Service Apartment,Executive Room,3.3
"Kanyal Road Village Simsa Manali - 175131, Himachal Pradesh, India",Manali,Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Gardens|Outdoor Parking - Secured|Parking Facility|Room Service|Public Restrooms,Prini Bus Stop|Kanyal Road|Gadham Thekchhokling Gompa|Himalayan Nyingmapa Gompa,Village Heart Cottage,Hotel,Deluxe room,3.3
Willingdon Island Kerala,Ernakulam,"Scanning services|BeautyShop/Hairdresser|Doctor-on-call|Jewellery Shop|Internet Access|Flight status|Valet Parking|Sunset Cruise|Tailor-made itineraries|Lounge|Bicycles available|Beauty Salon|Ethernet RJ-45 Jack for Laptop|Cellular phone in-car with one-touch key for ASK services|Indoor games|Conference Room|Fitness Center|Currency exchange|Postal &amp; Parcel Services|Ballroom|Video-conferencing facilities|Disabled Parking|Steam Bath|Gym|Restaurant|Sightseeing tours|Banquet Facility|Babysitting, with 24 hours prior notification|24-hour in room dining|Free Parking|Ice/Vending Machines|Kiosk, Internet Appliance, PC|Train Access|Wireless Data Connection|Photocopying|Bar|Sauna|High speed Wi-fi access.|Outdoor Parking|Airport transfers|Front Desk|Car rentals|Gift Shop|Facsimile|Business Center|Handicapped Facilities|Wireless Data Connection (in Room)|High Speed Internet Access|Workstations|News Stand/Books|Whirlpool/Jacuzzi|No smoking rooms|Meeting Room|Coffee Shop|Room Service|Game Room|Analog Dial-Up Dataport|Beauty Farm|Shops in vicinity|Souvenir Shop|Wheelchair Accessible Elevators|24-hour Business Centre|Elevators|Travel &amp; Tours desk|Spa|Health Club|Secretarial services|Swimming Pool|Local errands-shopping/medicines/telecommunication etc.",Tripunithura|Ernakulam Jn. Station|Chinese Fishing Nets|Dutch Palace|Cochin  International Airport|Antique And Spice Shops|St Francis Church|Jewish Synagogue|Ernakulam City Centre|City Center|Nedubassery Airport|Santa Cruz Cathedral|Fort Cochin|Ernakulam Town Station.|Ernakulam Junction|Willingdon Island|Bolgatty Palace,Vivanta by Taj - Malabar (A Taj Hotel),Hotel,"Superior Charm Heritage Room/ Garden
View/ Twin Bed/ 42 Sq Mt/ Comp Basic Wif",4.6
Finishing Point alleppey,Alleppey,Lobby|RO Water Purification System|Room Service,Finishing Point Road,Welcome Cruise Houseboat,Houseboat,Double Bedroom,
"PLOT-336 ,NEWDIGHA,(OPPOSIT OF DIGHA HALIPAD)",Digha,Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Power Backup|Catering|Kitchen available (home cook food on request)|Vegetarian Food / Jain Food Available|Food Facility|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service|Porter Services Available|Public Restrooms,New Digha,VENUS INTERNATIONAL,Hotel,ROYAL AC,
"Noyce Road,Near Coacker's walk, Hallowdene Bungalow.",Kodaikanal,Parking Facilities Available|Table Tennis|Parking Facility|Room Service,Kodaikanal Bus Stand|Bear Shola Falls|Lake Area|St Xaviers Church|St Marys Church|Shenbaganur Bus Stop|Srinivasapuram Bus Stop|Moonjikkal Bus Stop|Lake Bus Stop|St Peters Church|Kadaikanal Golf Course|Van Allen Hospital,Yagappa Heritage Resort,Resort,Standard,4.1
"Station Road, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Banquet Facilities|Business Center |Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Valet service|24 Hour Front Desk|Luggage Storage|Air-Conditioning - Central|Power Backup|Wedding Services Facility|Catering|Wake-up Call / Service|Separate Sitting Area|Conference Facility |Smoking Rooms|Cell Phone Rental|Veg / Non Veg Kitchens Separate |In House Events |Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Board Room|Food Facility|Internet Access Free|Newspapers In Lobby|Postal / Parcel Services|Air / Rail Booking|Baggage Room|Courier Service|Parking Facility|Internet Access|Restaurant|Room Service,Dwaraka Nagar|Visakhapatnam Railway Station,Vistaram Ac  Rooms Railway Station,Hotel,Royal King A/c,3.8
"NEAR ROYAN HOSPITAL,DINDUGUL BYEPASS ROAD,PALANI",Palani,Swimming Pool|Bar / Lounge |Business Center |Casino|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Power Backup|Gardens|Dance Performances (on demand)|Transfers Available|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service|Porter Services Available|Speciality Restaurant |Suites,South Anna Nagar,VPV HOTEL,Hotel,AC Room,
"Near Beas Bridge, Left Bank Road, Manali",Manali,Bar / Lounge |Doctor on Call|Games Zone|Laundry Service Available|Multi Cuisine Restaurant |Conference Facility |Massage Services,"Solang Valley|Manikaran|Rohtang Pass|Hadimba Temple|Manu Temple|Club House|Kullu|Van Vihar|Vashist Hot Water Springs and Temples|Bhunter Airport|Tourism Office|Post Office|Local Bus Stop|Manali Mall, Shopping Complex|Jagatsuhk|Aleo, Left Bank|Guru Gobind Singh Ji Gurudwara|Lady Willingdon Hospital|Circuit House",Whispering Valley Resort,Resort,Deluxe Room,3.7
"Pee Bee Tower, Civil Line Road, Vazhakkala, Ernakulam- Kerala, India",Ernakulam,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk,Ernakulam,White Residency,Hotel,Non A/c Room,
"#7, Devanga Hostel Road,10th Main, Close to HCG Hospital S.R Nagar, Bangalore",Bangalore,Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Air-Conditioning - Central|Welcome Drinks|Express Check-In / Check-Out|Board Room|Family Room|Room Service (24 Hours)|Outdoor Parking - Secured,Sree Kanteerava Stadium|Lalbagh Metro Station|Karnataka State Dental Council|City Civil Court Complex|Tipu Sultans Palace|Lalbagh Botanical Garden|Adugodi Post Office|KR Market Bus Stand|Shanthi Nagar Bus Station|Shri Dharmaraya Swamy Temple|Kalasipalya Bus Depot|Chief Metropolitan Magistrate Court|Ramakrishna Math|Passport Seva Kendra|Mallya Hospital|Gandhi Nagar/ Majestic / City Railway Station|Karnataka State Hockey Association|Income Tax Department|Bull temple|Bangalore Metropolitan Transport Corporation|Magistrate Court|Director of Horticulture Office,VT Paradise,Hotel,Standard AC,3.7
"Palace Road, Kota , Rajasthan",Kota,Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Billiards|Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Multi Cuisine Restaurant |Locker Facility|Major Credit Cards Accepted|Gardens|Conference Facility |ATM / Banking|Badminttion Court|Postal / Parcel Services|Parking Facility|Room Service,Ummed Park,WelcomHeritage Umed Bhawan Palace,Palace,Deluxe Room,4
"26,Desika Rd, CIT Colony, Mylapore,  Behind Kaveri Hospital",Chennai,Doctor on Call|Lobby|Parking Facilities Available|Air-Conditioning - Central|Kitchen available (home cook food on request)|Internet Access Free|Newspapers In Lobby|Outdoor Parking - Secured|Parking Facility|Public Restrooms,"German Consulate General|Consulate Of Korean|Greenways Road MRTS Station|Consulate Of Japan|Consulate General of Malaysia|Switzerland Consulate|Ramee Mall|Kotturpuram Railway Station|Oberoi Hotel|Mandaveli MRTS Station|US Consulate|Broken bridge|Kotturpuram MRTS Station|Consulate General of the Republic of Korea in Chennai|Vivekananda House,|Honorary Consulate of Ireland|Aalayamman Bus Stop|Russian Consulate|Anna University|U.S. Consulate General, Chennai|Valluvar Statue|Adyar Park|Consulate Of Singapore|Mylapore|Mundakakanni Amman Kovil Railway Station|Thirumayilai MRTS Station|Arulmigu Kapaleeswarar Temple|Gandhi Mandapam",Vox Crescendo,Service Apartment,Deluxe Room  AC,
"VILL. KATRAIN, PO KATRAIN,TEH. N DISTT. KULLU (HP)",Kullu,Business Center |Laundry Service Available|Parking Facilities Available|Front Desk|24 Hour Front Desk|Nature Walk|Food Facility|Room Service (24 Hours)|Room Service|Public Restrooms,"Arjun Gufa|Katrain, Nh21|Naggar|Naggar Village",WOODCHIME HOMESTAY,Homestay,COTTAGE ROOM,
"Villa Theresa, Umta Vaddo, Near Hotel M.R Hotel or Seanor Angelo Hotel , Calangute-Bardez-Goa",Goa,Swimming Pool|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|Luggage Storage,"Candolim Beach|Calangute beach |Anjuna Beach|Calangute Beach|Calangute Area|Baga Beach|Titos lane, baga|Calangute Bus Stand|North Goa",Villa Theresa Beach Resort,Resort,Deluxe Room,3.5
"Sri Subramanya mutt, Kukke shri Subramanya -574238",Kukke,Business Center |Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|Non Smoking Hotel|24 Hour Front Desk|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Wedding Services Facility|Coffee Shop / Cafe|ATM / Banking|Picnic Area|Veranda|Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Food Facility|Newspapers In Lobby|Family Room|Party hall|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service|Fire Safety|CCTV,Kashi Katte,VYASA MANDIRA,Lodge,4 Beded Room,4.6
"Simi Bhavan Buildings,West of YMCA, Near St.Marry's Timbers, C.C.N.B Rd, Alleppey, Kerala",Alleppey,Power Backup|Fire Safety,Alleppey Railway Station|Others,wonder cruise houseboat triple bed deluxe,Houseboat,Triple bed,
"Mahadev Road, Pachmarhi - 461 881 (M.P.) INDIA",Pachmarhi,Business Center |Laundry Service Available|Multi Cuisine Restaurant,Bhopal Airport|Nagpur|Bus Stand|Pipariya Railway Station|Chauragarh Shrine|Chindwara|The Jata Shankar Temple|Chotta Mahadev|Jabalpur|Itarsi|Apsara Vihar (Fairy Pool) -|Main Town|Handi Khoh|Jata Shankar Caves,WelcomHeritage The Golf View,Resort,Forsyth Suite Room,4.2
"S-35A, Arvind Marg, M.I. Road, Jaipur",Jaipur,Swimming Pool|Banquet Facilities|Bar / Lounge |Business Center |Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Valet service|24 Hour Front Desk|Doorman|Medical Assistance Available|Power Backup|Gardens|Audio - Visual Equipment|Multi Lingual Staff|Wake-up Call / Service|Porter / Bellhop|Suitable For Children|Coffee Shop / Cafe|Conference Facility |Fax Machine|Limousine Service Available|Open Air Restaurant / Dining |In House Events |Vegetarian Food / Jain Food Available|Car Rental|Board Room|City Shuttle Service|Rooftop Garden|Newspapers In Lobby|Postal / Parcel Services|Room Service (24 Hours)|Spa Services Nearby|Party hall|Air / Rail Booking|Courier Service|Guide / Sightseeing Service|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility|Internet Access,Amer Fort|Hawa Mahal|Birla Temple|City Palace|Johari Bazaar|Jantar Mantar|Airport|Jaigarh Fort|Nahargarh Fort|Jal Mahal|Albert Hall Museum|RAJ MANDIR CINEMA|National Institute Of Ayurveda|Bapu Bazar|Birla Mandir|Moti Doongri Ganesh Ji temple|Brila Auditorium|Jaipur General Post Office|Jawahar Nagar Head Post Office|Sawai Man Singh Hospital|NIMS UNIVERSITY|Johari Bazar|Govind Dev Ji Temple|M I Road|Ram Niwas Bagh|Laxmi Narayan Temple|Central Park|Albert Hall|Tripolia Bazar|Jaipur Development Authority|Garh Ganesh Temple|Maharaja  Sawai Man Singh II Museum|The Statue Circle,Vesta Maurya Palace,Hotel,Royal Deluxe Room,4.1
"Door No:67-12-5/2B, Lalbahadur Nagar, Nagamallithota Junction,Beside Cancer Hospital Road",Kakinada,Doctor on Call|Front Desk|Parking Facility|Room Service,Shri Bhavanarayana Swamy Temple|District Sport Complex|Subhash Road|Kakinada Station|Jemini Plaza|Exprees Shopping Mall|Parshuram Statue,Vennela Residency,Hotel,Deluxe,
"Opp Of Gour Nityananda Temple Gate No 1,Mayapur",Mayapur,Doctor on Call|Power Backup|Wake-up Call / Service|Parking Facility|Room Service,Nityananda Temple,Yogmaya Yatri Nivas,Hotel,Ac Room,
Near Circuit House,Jhansi,Doctor on Call|Front Desk|24 Hour Front Desk|Doorman|Medical Assistance Available,Civil Lines|Lakshmi Bai Temple|Jhansi Fort|Rani Mahal,Veerangana Tourist Bungalow,Bungalow,Ac Room,
"90/2/A, Hi Tech City Main Road, Madhapur",Hyderabad,Doctor on Call|Front Desk|Doorman|Power Backup|Extra Person / Child - Share the same room|Family Room|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service|Fire Safety|Fire Exit Signs,Shilparamam|Borabanda MMTS Station|Maulana Azad National Urdu University|Cyber Tower|Hi-Tech City|Hitech City MMTS Station|Inorbit Mall|Turkish Consulate|Durgam Cheruvu|Image Hospital,VG Guest House,Guest House,AC Room,
"982,,Had Field Road, West Lake, Ooty - 643001",Ooty,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Medical Assistance Available|Room Service (24 Hours)|First-Aid Kit at Front Desk,,WEST NATURE COTTAGES,Cottage,Deluxe Room,
NDA road chandani chowk pune,Pune,Doctor on Call|Parking Facilities Available|Outdoor Parking - Secured|Parking Facility|Public Restrooms,Krishna Hospital|Pune Bangalore Highway|Mai Mangeshkar Hospital|Cipla Cancer &amp; Aids Foundation Care &amp; Training Center|Cipla Cancer & Aids Foundation Care & Training Center,Viva Inn,Hotel,Standard Room,
"409, Ashirwad villa, new city light road, bharthana, vesu,",Surat,"Beauty Salon - on charge|Currency Exchange|Doctor on Call|Gift Shop |Laundry Service Available|Lobby|Spa On Site - Chargeable|Table Tennis|Tennis Court|Local Tour / Travel Desk|Luggage Storage|Doorman|Medical Assistance Available|Computer Rental|Wedding Services Facility|Sauna|Grocery|Coffee Shop / Cafe|ATM / Banking|Jacuzzi|Pool Table|Massage Services |Clubhouse|Safari|Boating|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Camel Ride| Bike on Rent|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Taxi Services|Badminttion Court|City Shuttle Service|Newspapers In Lobby|Family Room| Cook Services|Air / Rail Booking|Baggage Room|Guide / Sightseeing Service|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|CCTV|First-Aid Kit at Front Desk|Hotel Trading License|Paid Transfers|Security at All Hotel Entrances",Ambika Niketan Temple|Piplod,Villas holiday home service,Homestay,Air Conditioned Room,5
Anaviratty P O,Munnar,Doctor on Call|Front Desk|Parking Facility|Room Service|Fire Safety,Others|Rose Garden,View Valley Homestay,Homestay,Standard Room,
"Candolim, North Goa PO box 403515",Goa,Swimming Pool|Parking Facilities Available|Jacuzzi|Pool Table|Kids Play Zone,Candolim Bus Stop|Sinquerim Beach|Candolim Area|Fort Aguada|North Goa|Candolim Beach,Villa Candolim,Villa,03 BHK Villa,
"P.O. Gutkar, Mandi",Mandi,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|Express Check-In / Check-Out|Car Rental|Taxi Services|Internet Access Free|Room Service (24 Hours),Bhuntar Airport|Manikaran|Rohtamg Pass|Sollang Valley|Manali|P.O. Gutkar,Visco Resorts (Pure Veg.),Hotel,Super Deluxe Room,2
"Near Famous Baga Beach, And Titos Pub India, Baga Beach, Goa 403516",Goa,,"Anjuna Beach|Baga Area|Calangute Beach|Titos lane, baga|Baga Beach|North Goa",Wanderlust Goa Retreat,Service Apartment,2 Room Apartment,
"Near helipad, Kharsali Village, Yamnotri, Uttarakhand 249141",Yamunotri,Airport Transfer Available / Surcharge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Wake-up Call / Service|Suitable For Children|Smoking Rooms|Free Local Calls|Open Air Restaurant / Dining |Car Rental|Taxi Services|Newspapers In Lobby|Family Room|Room Service (24 Hours)| Cook Services|Baggage Room|Courier Service|Guide / Sightseeing Service|Parking Facility|Internet Access|Restaurant|Public Restrooms,Yamunotri Road|Yamunotri Temple,Yamunotri Cottages,Hotel,Deluxe Room,
"19, Seebiah Road, Opposite: Agarwal Choultry, Devaraja Mohalla",Mysore,Doctor on Call|Laundry Service Available|Multi Cuisine Restaurant |Room Service (24 Hours)|Parking Facility,Jaganmohan Palace|Chamarajapura Railway Station|Captain Bailey Dungeon|Bus Stand/Railway Station Area|Folklore Museum|JSS Hospital|Mall Of Mysore|Basappa Memorial Hospital|University of Mysore|Mysore Railway Station|Suburban KSRTC Bus Station|Gun House|KSRTC Bus Depot|Karnataka State Open University|Railway Museum|Mysore Palace|JSS Polytechnic for the Differently Abled|VIKRAM JEEV MYSURU|karanji lake|Mysore Zoo|Mysore City Bus Stand|Mysore Town Hall|DRC Mall|Chamundi Indoor Stadium|St Philomenas Church|Mysore Zoo Bus Stop|BGS Apollo Hospital,Vyshak International,Hotel,Deluxe Non AC,3.6
"Naldehra Gardens, District Shimla Himachal Pradesh Himachal Pradesh. 171005",Naldehra,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Suitable For Children|Veranda|Taxi Services|Newspapers In Lobby|Parking Facility|Fire Safety|Anti-Slip Ramps|Fire Exit Signs|First-Aid Kit at Front Desk|Public Restrooms,Naldehra,Whispering Willow Cottage,Cottage,Exquisite 2BHK Cottage,
"Palakonda road,Srikakulam",Srikakulam,Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Room Service,Srikakulam,Varam Residency,Hotel,Executive Non A/C,3.5
"tirthan valley, Village Sairopa, V.P.O Ghaidhar, Tehsil-Banjar,Dist Kullu, Pin no -175123,Himachal",Kullu,Doctor on Call|Parking Facilities Available|Front Desk|Medical Assistance Available|Nature Walk|Food Facility|Parking Facility|Room Service,Tehsil-Banjar,White Stone Cottages,Hotel,Cottages,
"PARALLEL ROAD, 4TH STAGE, KRISHNAGIRI",Krishnagiri,Doctor on Call|Room Service|Public Restrooms,Krishnappa Chetti Layout,vinayaka hotel 2,Hotel,Deluxe Room,
"Near Don Bosco Hall,Balmatta Main Road,Balmatta",Mangalore,Bar / Lounge |Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Internet Access Free|Room Service (24 Hours)|Airport Transfer Free|Parking Facility,St. Aloysius Church|Bejai Museum|Mangalore Railway Station|Jyoti Circle Area|St Alaysius College|Kadri Manjunath Temple|Mangala Stadium,Veenu International - Balmatta,Hotel,Deluxe Room AC,4
